Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which categories are included in the execution time summary in a Query Profile? (Choose two.),multi-select,A. Pruning,B. Spilling,C. Initialization,D. Local Disk I/O,E. Percentage of data read from cache,,,,,,,,,,,"3, 4","https://docs.snowflake.com/en/user-guide/ui-query-profile Execution Time Execution time provides information about “where the time was spent” during the processing of a query. Time spent can be broken down into the following categories, displayed in the following order:  Processing — time spent on data processing by the CPU.  Local Disk IO — time when the processing was blocked by local disk access.  Remote Disk IO — time when the processing was blocked by remote disk access.  Network Communication — time when the processing was waiting for the network data transfer.  Synchronization — various synchronization activities between participating processes.  Initialization — time spent setting up the query processing.
https://docs.snowflake.com/en/user-guide/ui-query-profile",
Which command can be used to list all network policies available in an account?,multiple-choice,A. DESCRIBE SESSION POLICY,B. DESCRIBE NETWORK POLICY,C. SHOW SESSION POLICIES,D. SHOW NETWORK POLICIES,,,,,,,,,,,,4,https://docs.snowflake.com/en/sql-reference/sql/show-network-policies,
Which type of loop requires a BREAK statement to stop executing?,multiple-choice,A. FOR,B. LOOP,C. REPEAT,D. WHILE,,,,,,,,,,,,2,"https://docs.snowflake.com/en/developer-guide/snowflake-scripting/loops#terminating-a-loop BREAK is required in a LOOP but is not necessary in WHILE, FOR, and REPEAT.
https://docs.snowflake.com/en/developer-guide/snowflake-scripting/loops",
Which virtual warehouse consideration can help lower compute resource credit consumption?,multiple-choice,A. Setting up a multi-cluster virtual warehouse,B. Resizing the virtual warehouse to a larger size,C. Automating the virtual warehouse suspension and resumption settings,D. Increasing the maximum cluster count parameter for a multi-cluster virtual warehouse,,,,,,,,,,,,3,"A - it won't  B - it can, if your queries take a very long time to execute. However, it's more likely to increase  C - it can D - it won't
https://docs.snowflake.com/en/user-guide/warehouses-considerations#automating-warehouse-suspension https://docs.snowflake.com/en/user-guide/warehouses-considerations#automating-warehouse-resumption",
"To use the OVERWRITE option on INSERT, which privilege must be granted to the role?",multiple-choice,A. TRUNCATE,B. DELETE,C. UPDATE,D. SELECT,,,,,,,,,,,,2,"Based on the Snowflake documentation, the INSERT statement with the OVERWRITE option does not require the TRUNCATE privilege. Instead, it requires the DELETE privilege. This allows the role to delete existing rows in the target table before inserting the new data.
Correct.  To use the OVERWRITE option on INSERT, you must use a role that has DELETE privilege on the table because OVERWRITE will delete the existing records in the table.
https://docs.snowflake.com/en/sql-reference/sql/insert",
What happens when a suspended virtual warehouse is resized in Snowflake?,multiple-choice,A. It will return an error.,B. It will return a warning.,C. The suspended warehouse is resumed and new compute resources are provisioned immediately.,D. The additional compute resources are provisioned when the warehouse is resumed.,,,,,,,,,,,,4,https://docs.snowflake.com/en/user-guide/warehouses-tasks,
Which task is supported by the use of Access History in Snowflake?,multiple-choice,A. Data backups,B. Cost monitoring,C. Compliance auditing,D. Performance optimization,,,,,,,,,,,,3,"Agree with C
https://docs.snowflake.com/en/user-guide/access-history",
Which feature of Snowflake’s Continuous Data Protection (CDP) has associated costs?,multiple-choice,A. Fail-safe,B. Network policies,C. End-to-end encryption,D. Multi-Factor Authentication (MFA),,,,,,,,,,,,1,A - fail-safe are part of CDP and have associated storage costs,
"When enabling access to unstructured data, which URL permits temporary access to a staged file without the need to grant privileges to the stage or to issue access tokens?",multiple-choice,A. File URL,B. Scoped URL,C. Relative URL,D. Pre-Signed URL,,,,,,,,,,,,2,"B - Scoped url are for staged files https://docs.snowflake.com/en/user-guide/unstructured-intro#types-of-urls-available-to-access-files
The answer should be D - Pre-signed URL. ScopeURL you need access to stage as well.
Pre Signed URL need Access tokens but Scoped URL doesnt require access token and expires in 24 Hours
Answer is B Scoped URL: Encoded URL that permits temporary access to a staged file without granting privileges to the stage.  The URL expires when the persisted query result period ends (i.e. the results cache expires), which is currently 24 hours. Source: https://docs.snowflake.com/en/user-guide/unstructured-intro#:~:text=Scoped%20URL,granting%20privileges%20to%20the%20stage.",
"Which Snowflake function is maintained separately from the data and helps to support features such as Time Travel, Secure Data Sharing, and pruning?",multiple-choice,A. Column compression,B. Data clustering,C. Micro-partitioning,D. Metadata management,,,,,,,,,,,,4,"D is correct the other answers support these features but they are not maintained separately
Maybe metadata cus it's the only thing which is separate from data  ABC are all about data, not separate from the data D",
"A tag object has been assigned to a table (TABLE_A) in a schema within a Snowflake database.

Which CREATE object statement will automatically assign the TABLE_A tag to a target object?",multiple-choice,A. CREATE TABLE [table_name] LIKE TABLE_A;,B. CREATE VIEW [view_name] AS SELECT * FROM TABLE_A;,C. CREATE TABLE [table_name] AS SELECT * FROM TABLE_A;,D. CREATE MATERIALIZED VIEW [view_name] AS SELECT * FROM TABLE_A;,,,,,,,,,,,,1,"A is correct
it's correct
https://docs.snowflake.com/en/user-guide/object-tagging  With CREATE TABLE … LIKE, tags assigned to the source table are assigned to the target table.",
"In addition to performing all the standard steps to share data, which privilege must be granted on each database referenced by a secure view in order to be shared?",multiple-choice,A. READ,B. REFERENCES,C. REFERENCE_USAGE,D. USAGE,,,,,,,,,,,,3,"https://docs.snowflake.com/en/user-guide/data-sharing-multiple-db  c
it's correct
https://docs.snowflake.com/en/release-notes/bcr-bundles/2023_02/bcr-944",
"Which function can be used with the COPY INTO [LOCATION] statement to convert rows from a relational table to a single VARIANT column, and to unload rows into a JSON file?",multiple-choice,A. FLATTEN,B. OBJECT_AS,C. OBJECT_CONSTRUCT,D. TO_VARIANT,,,,,,,,,,,,3,"C - this type of question comes back often
D is correct D. USAGE: The USAGE privilege on a database allows users to access objects within the database, which is necessary for the users who will be accessing the shared secure view. This privilege is required to ensure that users can resolve references to objects in the database when querying the secure view.",
Which type of role can be granted to a share?,multiple-choice,A. Account role,B. Custom role,C. Database role,D. Secondary role,,,,,,,,,,,,3,"Grant the database role to a share and grant future privileges on an object to the database role:  GRANT DATABASE ROLE dbr1 TO SHARE myshare; GRANT SELECT ON FUTURE TABLES IN SCHEMA sh TO DATABASE ROLE dbr1;
https://docs.snowflake.com/en/sql-reference/sql/grant-database-role-share",
"When unloading data with the COPY INTO [location] command, what is the purpose of the PARTITION BY <expression> parameter option?
							
						</expression>",multiple-choice,A. To sort the contents of the output file by the specified expression.,B. To delimit the records in the output file using the specified expression.,C. To include a new column in the output using the specified window function expression.,"D. To split the output into multiple files, one for each distinct value of the specified expression.",,,,,,,,,,,,4,"https://docs.snowflake.com/en/sql-reference/sql/copy-into-location#optional-parameters
D is correct.  https://docs.snowflake.com/en/user-guide/data-unload-overview",
What are potential impacts of storing non-native values like dates and timestamps in a VARIANT column in Snowflake?,multiple-choice,A. Faster query performance and increased storage consumption,B. Slower query performance and increased storage consumption,C. Faster query performance and decreased storage consumption,D. Slower query performance and decreased storage consumption,,,,,,,,,,,,2,"Non-native values such as dates and timestamps are stored as strings when loaded into a VARIANT column, so operations on these values could be slower and also consume more space than when stored in a relational column with the corresponding data type.
https://docs.snowflake.com/en/sql-reference/data-types-semistructured",
Which views are included in the DATA_SHARING_USAGE schema? (Choose two.),multiple-choice,A. ACCESS_HISTORY,B. DATA_TRANSFER_HISTORY,C. WAREHOUSE_METERING_HISTORY,D. MONETIZED_USAGE_DAILY,E. LISTING_TELEMETRY_DAILY,,,,,,,,,,,"4, 5","DE agreed
It is D and E
D & E  https://docs.snowflake.com/en/sql-reference/data-sharing-usage
Correct Answers: D. MONETIZED_USAGE_DAILY and E. LISTING_TELEMETRY_DAILY MONETIZED_USAGE_DAILY: This view provides daily usage data for monetized data sharing, which is relevant for tracking and analyzing how shared data is being accessed and utilized in a monetized context. LISTING_TELEMETRY_DAILY: This view contains daily telemetry data for data listings, offering insights into the activity and interactions with data listings shared via Snowflake.",
Which Snowflake object contains all the information required to share a database?,multiple-choice,A. Private listing,B. Secure view,C. Sequence,D. Share,,,,,,,,,,,,4,"D - straightforward
D.  https://docs.snowflake.com/en/user-guide/data-sharing-intro",
